,region ,treatment_hub,address,contact_number,hact_chair,lon,lat
0,CAR,Baguio General Hospital and Medical Center,"Gov. Pack Rd., Baguio City",(074) 442-4216 loc 381/915-5816-480,Dr. Maria Lorena L. Santos ,120.5982032,16.4074912
1,I,Ilocos Training and Regional Medical Center,"San Fernando City, La Union",(072) 6076413 loc 124,Dr. Jimmy Mynardo Mendigo,120.3666099,16.6073769
2,II,Cagayan Valley Medical Center,"Carig, Tuguegarao, Cagayan",(078) 304-1410,Dr. Karina Domingo,121.7316775,17.6536625
3,III,Jose B. Lingad Medical Center,"Brgy. San Dolores, San Fernando, Pampanga",(045) 961-3989 (Medicine Department),Dr. Edwin Pasumbal,120.6691852,15.0492933
4,NCR,San Lazaro Hospital,"Quiricada St., Sta. Cruz, Manila",732-3125 732-3125/723-3776 to 79/732-3106 loc 218 (H4 OPD)/loc 212 (H4 ward),Dr. Rosario Jessica Tactacan-Abrenica,120.9816131,14.613214
5,NCR,Philippine General Hospital,"Taft Ave., Manila",554-8400 loc 3249/0920-5031-104,Dr. Jodor Lim,120.9890612,14.5747262
6,NCR,Research Institute for Tropical Medicine,"Filinvest Corporate City, Alabang, Muntinlupa City",807-2628 loc 332,Dr. Manolito Chua,121.0331069,14.4226115
7,NCR,Makati Medical Center,"2 Amorsolo St., Legaspi Village, Makati City",888-8999 loc 2336,Dr. Ma. Tarcela Gler,121.0156571,14.5510225
8,NCR,The Medical City,"Ortigas Ave., Pasig City",-,-,121.0785229,14.5898169
9,V,Bicol Regional Training and Teaching Hospital,"Rizal St., Legazpi City",(052) 4830017,Dr. Anna Lynda Bellen,0.0,0.0
10,VI,Western Visayas Medical Center,"Q. Abeto St., Mandurriao, Iloilo City",(033) 3212841,Dr. Ray Celis,122.5426209,10.7180949
11,VI,Corazon Locsin Montelibano Memorial Regional Hospital,"Department of Internal Medicine, 3rd Flr. OPD Bldg., CLMMRH, Lacson St., Bacolod City",(034) 709-0244/0922-2903-710/0922-8608-756,Dr. Joann Cerrada,122.9622367,10.7021898
12,VII,Vicente Sotto Memorial Medical Center,"B. Rodriguez, Sambag II, Cebu City",(032) 2539891 - 96,Dr. Abelardo Alera,123.889587,10.3082009
13,VII,Gov. Celestino Gallares Memorial Hospital ,"M. Parras St., Tagbilaran City",(038) 4114868,Dr. Wilnilia Causing,123.8564898,9.6454042
14,IX,Zamboanga City Medical Center,"Ligaya Center for Healing, Zamboanga City Medical Center, Sta. Catalina, Zamboanga City",(062) 991-2934,Dr. Maribel O. Felisario,122.0790267,6.9214424
15,XI,Southern Philippines Medical Center,"J. P. Laurel St., Bajada, Davao City",(082) 2272731 loc 4205 ,Dr. Alicia Layug,125.624445,7.098799800000001
